Date,Series,Value
9/30/1988,Household debt to assets,12
12/31/1988,Household debt to assets,12.2
3/31/1989,Household debt to assets,12.5
6/30/1989,Household debt to assets,12.9
9/30/1989,Household debt to assets,12.7
12/31/1989,Household debt to assets,12.9
3/31/1990,Household debt to assets,13.1
6/30/1990,Household debt to assets,13.4
9/30/1990,Household debt to assets,13.3
12/31/1990,Household debt to assets,13.4
3/31/1991,Household debt to assets,13.3
6/30/1991,Household debt to assets,13.3
9/30/1991,Household debt to assets,13.2
12/31/1991,Household debt to assets,13.3
3/31/1992,Household debt to assets,13.4
6/30/1992,Household debt to assets,13.3
9/30/1992,Household debt to assets,13.5
12/31/1992,Household debt to assets,13.2
3/31/1993,Household debt to assets,13.1
6/30/1993,Household debt to assets,13.5
9/30/1993,Household debt to assets,13.3
12/31/1993,Household debt to assets,13.2
3/31/1994,Household debt to assets,13.3
6/30/1994,Household debt to assets,13.8
9/30/1994,Household debt to assets,14.1
12/31/1994,Household debt to assets,14.4
3/31/1995,Household debt to assets,14.6
6/30/1995,Household debt to assets,14.5
9/30/1995,Household debt to assets,14.9
12/31/1995,Household debt to assets,15.3
3/31/1996,Household debt to assets,15.5
6/30/1996,Household debt to assets,15.7
9/30/1996,Household debt to assets,15.7
12/31/1996,Household debt to assets,15.5
3/31/1997,Household debt to assets,15.6
6/30/1997,Household debt to assets,15.4
9/30/1997,Household debt to assets,15.4
12/31/1997,Household debt to assets,16.2
3/31/1998,Household debt to assets,16.3
6/30/1998,Household debt to assets,16.5
9/30/1998,Household debt to assets,16.5
12/31/1998,Household debt to assets,16.6
3/31/1999,Household debt to assets,16.4
6/30/1999,Household debt to assets,16.8
9/30/1999,Household debt to assets,16.6
12/31/1999,Household debt to assets,16.4
3/31/2000,Household debt to assets,16.6
6/30/2000,Household debt to assets,17.1
9/30/2000,Household debt to assets,17.2
12/31/2000,Household debt to assets,17.5
3/31/2001,Household debt to assets,17.4
6/30/2001,Household debt to assets,17.1
9/30/2001,Household debt to assets,17.2
12/31/2001,Household debt to assets,17.3
3/31/2002,Household debt to assets,17.3
6/30/2002,Household debt to assets,17.7
9/30/2002,Household debt to assets,18
12/31/2002,Household debt to assets,18.2
3/31/2003,Household debt to assets,18.4
6/30/2003,Household debt to assets,18.2
9/30/2003,Household debt to assets,18
12/31/2003,Household debt to assets,18.1
3/31/2004,Household debt to assets,18.3
6/30/2004,Household debt to assets,18.6
9/30/2004,Household debt to assets,18.7
12/31/2004,Household debt to assets,18.7
3/31/2005,Household debt to assets,18.8
6/30/2005,Household debt to assets,19.2
9/30/2005,Household debt to assets,19.1
12/31/2005,Household debt to assets,19.1
3/31/2006,Household debt to assets,18.9
6/30/2006,Household debt to assets,19.2
9/30/2006,Household debt to assets,19.2
12/31/2006,Household debt to assets,19.1
3/31/2007,Household debt to assets,18.9
6/30/2007,Household debt to assets,19.2
9/30/2007,Household debt to assets,18.8
12/31/2007,Household debt to assets,19
3/31/2008,Household debt to assets,19.7
6/30/2008,Household debt to assets,20.4
9/30/2008,Household debt to assets,21
12/31/2008,Household debt to assets,22.3
3/31/2009,Household debt to assets,22.5
6/30/2009,Household debt to assets,21.9
9/30/2009,Household debt to assets,21.2
12/31/2009,Household debt to assets,20.4
3/31/2010,Household debt to assets,20
6/30/2010,Household debt to assets,20.7
9/30/2010,Household debt to assets,20.6
12/31/2010,Household debt to assets,20.8
3/31/2011,Household debt to assets,21.1
6/30/2011,Household debt to assets,21.4
9/30/2011,Household debt to assets,22.2
12/31/2011,Household debt to assets,22.3
3/31/2012,Household debt to assets,22.2
6/30/2012,Household debt to assets,22
9/30/2012,Household debt to assets,21.9
12/31/2012,Household debt to assets,21.6
3/31/2013,Household debt to assets,21.4
6/30/2013,Household debt to assets,21.7
9/30/2013,Household debt to assets,21.3
12/31/2013,Household debt to assets,21.1
3/31/2014,Household debt to assets,20.9
6/30/2014,Household debt to assets,21
9/30/2014,Household debt to assets,20.8
12/31/2014,Household debt to assets,20.5
3/31/2015,Household debt to assets,20.2
6/30/2015,Household debt to assets,20.2
9/30/2015,Household debt to assets,20.1
12/31/2015,Household debt to assets,20
3/31/2016,Household debt to assets,20.2
6/30/2016,Household debt to assets,20
9/30/2016,Household debt to assets,19.8
12/31/2016,Household debt to assets,19.4
3/31/2017,Household debt to assets,19.3
6/30/2017,Household debt to assets,19.3
9/30/2017,Household debt to assets,19.5
12/31/2017,Household debt to assets,19.3
3/31/2018,Household debt to assets,19.5
6/30/2018,Household debt to assets,19.6
9/30/2018,Household debt to assets,19.6
12/31/2018,Household debt to assets,20.2
3/31/2019,Household debt to assets,20.2
6/30/2019,Household debt to assets,19.8
9/30/2019,Household debt to assets,19.3
12/31/2019,Household debt to assets,19.1
3/31/2020,Household debt to assets,19.6
6/30/2020,Household debt to assets,19.3
9/30/2020,Household debt to assets,18.8
12/31/2020,Household debt to assets,18.1
3/31/2021,Household debt to assets,17.6
6/30/2021,Household debt to assets,17.2
9/30/2021,Household debt to assets,16.7
12/31/2021,Household debt to assets,16.3
3/31/2022,Household debt to assets,16.4
6/30/2022,Household debt to assets,17.1
9/30/2022,Household debt to assets,17.5
12/31/2022,Household debt to assets,17.5
3/31/2023,Household debt to assets,17.5
6/30/2023,Household debt to assets,17.3
9/30/2023,Household debt to assets,17.2
12/31/2023,Household debt to assets,16.9
3/31/2024,Household debt to assets,16.8
6/30/2024,Household debt to assets,16.8
9/30/2024,Household debt to assets,16.7
12/31/2024,Household debt to assets,16.6
3/31/2025,Household debt to assets,16.7
9/30/1988,Housing debt to housing assets,11.7
12/31/1988,Housing debt to housing assets,11.3
3/31/1989,Housing debt to housing assets,11.4
6/30/1989,Housing debt to housing assets,11.5
9/30/1989,Housing debt to housing assets,11.3
12/31/1989,Housing debt to housing assets,11.5
3/31/1990,Housing debt to housing assets,11.5
6/30/1990,Housing debt to housing assets,11.5
9/30/1990,Housing debt to housing assets,11.7
12/31/1990,Housing debt to housing assets,11.9
3/31/1991,Housing debt to housing assets,11.9
6/30/1991,Housing debt to housing assets,12.1
9/30/1991,Housing debt to housing assets,12.1
12/31/1991,Housing debt to housing assets,12.3
3/31/1992,Housing debt to housing assets,12.6
6/30/1992,Housing debt to housing assets,12.7
9/30/1992,Housing debt to housing assets,12.8
12/31/1992,Housing debt to housing assets,13
3/31/1993,Housing debt to housing assets,13.5
6/30/1993,Housing debt to housing assets,13.8
9/30/1993,Housing debt to housing assets,14.1
12/31/1993,Housing debt to housing assets,14.4
3/31/1994,Housing debt to housing assets,14.5
6/30/1994,Housing debt to housing assets,15
9/30/1994,Housing debt to housing assets,15.4
12/31/1994,Housing debt to housing assets,15.9
3/31/1995,Housing debt to housing assets,16.5
6/30/1995,Housing debt to housing assets,16.6
9/30/1995,Housing debt to housing assets,17.1
12/31/1995,Housing debt to housing assets,17.7
3/31/1996,Housing debt to housing assets,17.8
6/30/1996,Housing debt to housing assets,17.9
9/30/1996,Housing debt to housing assets,17.9
12/31/1996,Housing debt to housing assets,17.7
3/31/1997,Housing debt to housing assets,17.8
6/30/1997,Housing debt to housing assets,17.7
9/30/1997,Housing debt to housing assets,17.6
12/31/1997,Housing debt to housing assets,18.2
3/31/1998,Housing debt to housing assets,18.7
6/30/1998,Housing debt to housing assets,18.7
9/30/1998,Housing debt to housing assets,18.8
12/31/1998,Housing debt to housing assets,19.1
3/31/1999,Housing debt to housing assets,18.7
6/30/1999,Housing debt to housing assets,19.3
9/30/1999,Housing debt to housing assets,19
12/31/1999,Housing debt to housing assets,18.9
3/31/2000,Housing debt to housing assets,19.4
6/30/2000,Housing debt to housing assets,20
9/30/2000,Housing debt to housing assets,20.6
12/31/2000,Housing debt to housing assets,21
3/31/2001,Housing debt to housing assets,20.5
6/30/2001,Housing debt to housing assets,20.6
9/30/2001,Housing debt to housing assets,20.1
12/31/2001,Housing debt to housing assets,20.9
3/31/2002,Housing debt to housing assets,21.1
6/30/2002,Housing debt to housing assets,20.8
9/30/2002,Housing debt to housing assets,20.7
12/31/2002,Housing debt to housing assets,21.2
3/31/2003,Housing debt to housing assets,21.1
6/30/2003,Housing debt to housing assets,21.1
9/30/2003,Housing debt to housing assets,21
12/31/2003,Housing debt to housing assets,21.3
3/31/2004,Housing debt to housing assets,21.8
6/30/2004,Housing debt to housing assets,22.5
9/30/2004,Housing debt to housing assets,22.7
12/31/2004,Housing debt to housing assets,22.8
3/31/2005,Housing debt to housing assets,22.9
6/30/2005,Housing debt to housing assets,23.6
9/30/2005,Housing debt to housing assets,23.8
12/31/2005,Housing debt to housing assets,24.1
3/31/2006,Housing debt to housing assets,23.7
6/30/2006,Housing debt to housing assets,24
9/30/2006,Housing debt to housing assets,24.1
12/31/2006,Housing debt to housing assets,24
3/31/2007,Housing debt to housing assets,23.7
6/30/2007,Housing debt to housing assets,24
9/30/2007,Housing debt to housing assets,23.4
12/31/2007,Housing debt to housing assets,23.5
3/31/2008,Housing debt to housing assets,24.2
6/30/2008,Housing debt to housing assets,25.4
9/30/2008,Housing debt to housing assets,26.2
12/31/2008,Housing debt to housing assets,28.3
3/31/2009,Housing debt to housing assets,28.7
6/30/2009,Housing debt to housing assets,28.1
9/30/2009,Housing debt to housing assets,27
12/31/2009,Housing debt to housing assets,25.7
3/31/2010,Housing debt to housing assets,25
6/30/2010,Housing debt to housing assets,25.8
9/30/2010,Housing debt to housing assets,26.1
12/31/2010,Housing debt to housing assets,26.5
3/31/2011,Housing debt to housing assets,27.1
6/30/2011,Housing debt to housing assets,27.3
9/30/2011,Housing debt to housing assets,28.6
12/31/2011,Housing debt to housing assets,28.9
3/31/2012,Housing debt to housing assets,29.1
6/30/2012,Housing debt to housing assets,29.2
9/30/2012,Housing debt to housing assets,29.6
12/31/2012,Housing debt to housing assets,29.1
3/31/2013,Housing debt to housing assets,29
6/30/2013,Housing debt to housing assets,29
9/30/2013,Housing debt to housing assets,28.4
12/31/2013,Housing debt to housing assets,27.9
3/31/2014,Housing debt to housing assets,27.7
6/30/2014,Housing debt to housing assets,27.7
9/30/2014,Housing debt to housing assets,27.8
12/31/2014,Housing debt to housing assets,27.3
3/31/2015,Housing debt to housing assets,27.1
6/30/2015,Housing debt to housing assets,26.5
9/30/2015,Housing debt to housing assets,26.3
12/31/2015,Housing debt to housing assets,26.4
3/31/2016,Housing debt to housing assets,26.8
6/30/2016,Housing debt to housing assets,26.7
